Epoch,TrainLoss,ValLoss
1,0.000271,0.000101
2,0.000026,0.000110
3,0.000024,0.000106
4,0.000024,0.000103
5,0.000023,0.000106
6,0.000023,0.000106
7,0.000023,0.000111
8,0.000023,0.000102
9,0.000022,0.000104
10,0.000022,0.000104
11,0.000022,0.000107
12,0.000022,0.000104
13,0.000022,0.000106
14,0.000022,0.000107
15,0.000022,0.000105
16,0.000022,0.000144
17,0.000022,0.000109
18,0.000022,0.000099
19,0.000022,0.000102
20,0.000021,0.000104
21,0.000021,0.000099
22,0.000021,0.000105
23,0.000021,0.000100
24,0.000021,0.000098
25,0.000021,0.000098
26,0.000021,0.000100
27,0.000021,0.000099
28,0.000021,0.000096
29,0.000021,0.000091
30,0.000020,0.000095
31,0.000020,0.000095
32,0.000020,0.000098
33,0.000020,0.000095
34,0.000020,0.000097
35,0.000020,0.000095
36,0.000020,0.000094
37,0.000020,0.000096
38,0.000020,0.000095
39,0.000020,0.000093
40,0.000020,0.000093
41,0.000020,0.000092
42,0.000020,0.000093
43,0.000020,0.000099
44,0.000020,0.000093
45,0.000020,0.000095
46,0.000020,0.000098
47,0.000020,0.000092
48,0.000020,0.000092
49,0.000020,0.000096
50,0.000020,0.000105
51,0.000020,0.000100
52,0.000020,0.000100
53,0.000020,0.000104
54,0.000020,0.000094
55,0.000020,0.000102
56,0.000020,0.000124
57,0.000020,0.000094
58,0.000020,0.000097
59,0.000020,0.000107
60,0.000020,0.000096
61,0.000020,0.000101
62,0.000020,0.000101
63,0.000020,0.000112
64,0.000020,0.000104
65,0.000020,0.000100
66,0.000020,0.000118
67,0.000020,0.000141
68,0.000020,0.000112
69,0.000020,0.000119
70,0.000020,0.000105
71,0.000020,0.000107
72,0.000020,0.000099
73,0.000020,0.000101
74,0.000020,0.000119
75,0.000020,0.000119
76,0.000020,0.000107
77,0.000020,0.000103
78,0.000020,0.000122
79,0.000020,0.000116
80,0.000020,0.000102
81,0.000020,0.000096
82,0.000020,0.000137
83,0.000020,0.000104
84,0.000020,0.000116
85,0.000020,0.000111
86,0.000020,0.000126
87,0.000020,0.000117
88,0.000020,0.000125
89,0.000019,0.000117
90,0.000020,0.000117
91,0.000019,0.000116
92,0.000019,0.000125
93,0.000020,0.000118
94,0.000019,0.000122
95,0.000019,0.000150
96,0.000019,0.000109
97,0.000019,0.000128
98,0.000019,0.000103
99,0.000019,0.000104
100,0.000019,0.000119
